Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,Value,NumericValue,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28123967,MALARIA_ITN_COVERAGE,COUNTRY,ZWE,YEAR,2020,37.5,37.5,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28123968,MALARIA_ITN_COVERAGE,COUNTRY,DJI,YEAR,2018,31.8,31.8,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28123969,MALARIA_ITN_COVERAGE,COUNTRY,SDN,YEAR,2020,56,56,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28123970,MALARIA_ITN_COVERAGE,COUNTRY,SOM,YEAR,2020,19.3,19.3,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28123971,MALARIA_ITN_COVERAGE,COUNTRY,AGO,YEAR,2020,14.1,14.1,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28123972,MALARIA_ITN_COVERAGE,COUNTRY,BDI,YEAR,2018,71.4,71.4,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28123973,MALARIA_ITN_COVERAGE,COUNTRY,BEN,YEAR,2018,59.2,59.2,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28123974,MALARIA_ITN_COVERAGE,COUNTRY,BFA,YEAR,2019,66.4,66.4,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28123975,MALARIA_ITN_COVERAGE,COUNTRY,CAF,YEAR,2018,76.7,76.7,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28123976,MALARIA_ITN_COVERAGE,COUNTRY,CIV,YEAR,2018,74.4,74.4,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28123977,MALARIA_ITN_COVERAGE,COUNTRY,CMR,YEAR,2018,63.2,63.2,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28123978,MALARIA_ITN_COVERAGE,COUNTRY,COD,YEAR,2019,64.7,64.7,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28123979,MALARIA_ITN_COVERAGE,COUNTRY,ETH,YEAR,2018,18.9,18.9,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28123980,MALARIA_ITN_COVERAGE,COUNTRY,GAB,YEAR,2019,15.8,15.8,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28123981,MALARIA_ITN_COVERAGE,COUNTRY,GIN,YEAR,2019,69.6,69.6,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28123982,MALARIA_ITN_COVERAGE,COUNTRY,GMB,YEAR,2020,48.7,48.7,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28123983,MALARIA_ITN_COVERAGE,COUNTRY,GNB,YEAR,2018,64.8,64.8,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28123984,MALARIA_ITN_COVERAGE,COUNTRY,GNQ,YEAR,2019,45.5,45.5,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28123985,MALARIA_ITN_COVERAGE,COUNTRY,NER,YEAR,2020,82.9,82.9,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28123986,MALARIA_ITN_COVERAGE,COUNTRY,NGA,YEAR,2020,41.9,41.9,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28123987,MALARIA_ITN_COVERAGE,COUNTRY,RWA,YEAR,2018,53.7,53.7,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28123988,MALARIA_ITN_COVERAGE,COUNTRY,SSD,YEAR,2020,48,48,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28123989,MALARIA_ITN_COVERAGE,COUNTRY,UGA,YEAR,2018,80.2,80.2,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28123990,MALARIA_ITN_COVERAGE,COUNTRY,ZMB,YEAR,2018,64.4,64.4,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28123991,MALARIA_ITN_COVERAGE,COUNTRY,DJI,YEAR,2019,20.5,20.5,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28123992,MALARIA_ITN_COVERAGE,COUNTRY,SDN,YEAR,2018,61.9,61.9,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28123993,MALARIA_ITN_COVERAGE,COUNTRY,SOM,YEAR,2019,18.3,18.3,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28123994,MALARIA_ITN_COVERAGE,COUNTRY,AGO,YEAR,2018,52.5,52.5,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28123995,MALARIA_ITN_COVERAGE,COUNTRY,AGO,YEAR,2019,27.2,27.2,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28123996,MALARIA_ITN_COVERAGE,COUNTRY,BDI,YEAR,2020,64.5,64.5,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28123997,MALARIA_ITN_COVERAGE,COUNTRY,BFA,YEAR,2018,49.2,49.2,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28123998,MALARIA_ITN_COVERAGE,COUNTRY,CIV,YEAR,2019,60.4,60.4,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28123999,MALARIA_ITN_COVERAGE,COUNTRY,COG,YEAR,2018,32.1,32.1,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28124000,MALARIA_ITN_COVERAGE,COUNTRY,COG,YEAR,2019,73.2,73.2,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28124001,MALARIA_ITN_COVERAGE,COUNTRY,COM,YEAR,2019,48.1,48.1,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28124002,MALARIA_ITN_COVERAGE,COUNTRY,COM,YEAR,2020,70.9,70.9,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28124003,MALARIA_ITN_COVERAGE,COUNTRY,ERI,YEAR,2018,61.6,61.6,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28124004,MALARIA_ITN_COVERAGE,COUNTRY,ETH,YEAR,2020,23.7,23.7,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28124005,MALARIA_ITN_COVERAGE,COUNTRY,GMB,YEAR,2018,61.4,61.4,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28124006,MALARIA_ITN_COVERAGE,COUNTRY,GNB,YEAR,2019,40.6,40.6,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28124007,MALARIA_ITN_COVERAGE,COUNTRY,GNQ,YEAR,2020,35.5,35.5,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28124008,MALARIA_ITN_COVERAGE,COUNTRY,KEN,YEAR,2018,69.6,69.6,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28124009,MALARIA_ITN_COVERAGE,COUNTRY,LBR,YEAR,2018,50.2,50.2,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28124010,MALARIA_ITN_COVERAGE,COUNTRY,LBR,YEAR,2019,61.5,61.5,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28124011,MALARIA_ITN_COVERAGE,COUNTRY,MDG,YEAR,2019,68.3,68.3,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28124012,MALARIA_ITN_COVERAGE,COUNTRY,MDG,YEAR,2020,46.1,46.1,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28124013,MALARIA_ITN_COVERAGE,COUNTRY,MLI,YEAR,2019,74.2,74.2,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28124014,MALARIA_ITN_COVERAGE,COUNTRY,MLI,YEAR,2020,83.1,83.1,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28124015,MALARIA_ITN_COVERAGE,COUNTRY,MOZ,YEAR,2020,63.5,63.5,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20
28124016,MALARIA_ITN_COVERAGE,COUNTRY,NGA,YEAR,2018,50.3,50.3,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28124017,MALARIA_ITN_COVERAGE,COUNTRY,RWA,YEAR,2019,36.9,36.9,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28124018,MALARIA_ITN_COVERAGE,COUNTRY,TZA,YEAR,2018,58.6,58.6,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
28124019,MALARIA_ITN_COVERAGE,COUNTRY,UGA,YEAR,2019,60.7,60.7,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19
28124020,MALARIA_ITN_COVERAGE,COUNTRY,SOM,YEAR,2018,22.5,22.5,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18
